language	Analysis_Source	Name (extracted)	Citing Article	Citied Article	Features	Homepage_URL
Bulgarian Corpus	citing_context	BSNLP 2017 Shared Task dataset	https://doi.org/10.18653/v1/W19-3712 (2019)	https://doi.org/10.18653/v1/W17-1412 (2017)	The BSNLP 2017 Shared Task dataset is used for evaluating and improving cross-lingual named entity recognition, normalization, and matching in Slavic languages, including Bulgarian, Czech, Russian, and Polish. It serves as a source for transfer learning in named entity recognition, providing annotated linguistic data that facilitates cross-lingual research and model development.	
Bulgarian Corpus	citing_context	Bulgarian Language Dataset	https://doi.org/10.26615/978-954-452-072-4_113 (2021)	https://doi.org/10.18653/v1/K19-1047 (2019)	The Bulgarian Language Dataset is used to develop coding schemes and detect media frames in Bulgarian news articles. Researchers employ automatic detection methods and large-scale analysis to identify and categorize media frames, enabling a deeper understanding of how news is presented and perceived in Bulgaria.	
Bulgarian Corpus	citing_context	Bulgarian MARCELL corpus	https://www.semanticscholar.org/paper/5f651b5b2c5ef9a5d144f068abf07611925e41cb (2020)	https://www.semanticscholar.org/paper/c5f5bb3131f5f1082bd82cce8a0ac08dea1e9366 (2016)	The Bulgarian MARCELL corpus is used in natural language processing (NLP) research, specifically for processing Bulgarian text using the NLP-Cube toolkit. It supports tasks such as tokenization, morphological analysis, part-of-speech (POS) tagging, and parsing. This dataset enables researchers to develop and evaluate NLP models tailored for the Bulgarian language, enhancing the accuracy and efficiency of linguistic analyses.	
Bulgarian Corpus	citing_context	Bulgarian MRC dataset	https://doi.org/10.26615/978-954-452-056-4_053 (2019)	https://www.semanticscholar.org/paper/204e3073870fae3d05bcbc2f6a8e263d9b72e776 (2017)	The Bulgarian MRC dataset is used to evaluate machine reading comprehension systems in Bulgarian, specifically focusing on their ability to answer questions based on given texts. This dataset enables researchers to assess the performance and accuracy of these systems in understanding and processing Bulgarian language content.	
Bulgarian Corpus	cited_context | citing_context	Bulgarian National Corpus	https://doi.org/10.26615/978-954-452-072-4_113 (2021), https://doi.org/10.26615/978-954-452-056-4_029 (2019), https://doi.org/10.18653/V1/2021.NAACL-MAIN.41 (2020)	https://www.semanticscholar.org/paper/cb53f9558bd13c853026f97dce3bbe3d989ca97d (2018), https://doi.org/10.18653/v1/D18-1269 (2018)	The Bulgarian National Corpus is used to develop a specialized corpus of 1.3k arguments annotated with fallacies, focusing on propaganda techniques and argumentation analysis. This dataset enables researchers to analyze and identify fallacious reasoning and propaganda methods, enhancing understanding of persuasive discourse and misinformation. The corpus's annotated nature supports detailed linguistic and rhetorical analysis, facilitating the development of tools and models for detecting and analyzing argumentative structures and fallacies.; The Bulgarian National Corpus is used to evaluate cross-lingual sentence representations and train models for Bulgarian language processing. It focuses on entailment tasks, cross-lingual transfer performance, and text classification. The dataset's linguistic features enable researchers to assess model performance and improve natural language processing techniques specifically for Bulgarian.	
Bulgarian Corpus	citing_context	Bulgarian speech data	https://doi.org/10.47810/clib.24.14 (2024)	https://doi.org/10.21437/interspeech.2022-143 (2021)	The Bulgarian speech data dataset is used to fine-tune Wav2Vec2 XLS-R models for Bulgarian speech recognition, specifically enhancing the model's performance on Bulgarian language tasks. This involves using the dataset to improve the accuracy and robustness of speech recognition systems tailored for the Bulgarian language.	
Bulgarian Corpus	citing_context	Bulgarian Treebank	https://doi.org/10.18653/v1/W19-3712 (2019)	https://www.semanticscholar.org/paper/a65e6a974212ed28133c2fe1e3b97a18dbc40cb6 (2009)	The Bulgarian Treebank is utilized primarily for transfer learning in named entity recognition (NER), providing annotated linguistic data for Bulgarian and other Slavic languages. It supports cross-lingual NER, normalization, and matching tasks, enabling researchers to leverage its annotated data for improving NER models across languages like Czech, Russian, and Polish. This dataset facilitates the development of multilingual NER systems by offering richly annotated resources.	
Bulgarian Corpus	citing_context	Europarl	https://doi.org/10.1007/978-94-024-0881-2_17 (2020)	https://www.semanticscholar.org/paper/694b3c58712deefb59502847ba1b52b192c413e5 (2005)	The Europarl dataset is used as a parallel corpus for statistical machine translation, enabling the development and evaluation of translation models across multiple languages. Researchers employ this dataset to train and test translation algorithms, focusing on improving the accuracy and fluency of automated translations. The dataset's multilingual nature supports cross-lingual research, facilitating comparisons and enhancements in translation performance.	
Bulgarian Corpus	citing_context	EXAMS	https://www.semanticscholar.org/paper/6a547cdba66a13aeedd7e5eb107754ee41a93db1 (2023)	https://doi.org/10.18653/v1/2020.emnlp-main.438 (2020)	The EXAMS dataset is used to generate model passages for black-box, zero-resource evaluation of hallucination in cross-lingual and multilingual question answering systems. It also serves to derive prompts for text generation tasks, specifically targeting Bulgarian matriculation exams across various school subjects. This dataset enables researchers to assess model performance and reliability in educational contexts, leveraging its focus on Bulgarian language content.	
Bulgarian Corpus	citing_context	GPT-WEB-BG 22	https://doi.org/10.26615/978-954-452-092-2_122 (2023)	https://doi.org/10.26615/978-954-452-092-2_077 (2023)	The GPT-WEB-BG 22 dataset is used to train transformer-based language models for the Bulgarian language, specifically focusing on content from major online media providers and social media. This dataset enhances language generation capabilities by providing diverse message types, enabling researchers to improve the quality and context relevance of generated text.	
Bulgarian Corpus	citing_context	HellaSwag	https://doi.org/10.48550/arXiv.2506.23394 (2025)	https://www.semanticscholar.org/paper/92e121c6e114fe3cfb89370df03847c66a9b4e28 (2019)	The HellaSwag dataset is used to evaluate models' capabilities in Bulgarian, focusing on common-sense reasoning, sentence completion, and complex reasoning tasks. It assesses tool-use capability, function-calling accuracy, and coreference resolution through adversarial examples, enhancing semantic understanding and problem-solving skills. This dataset enables researchers to rigorously test and improve models' linguistic and cognitive abilities in challenging scenarios.	
Bulgarian Corpus	citing_context	Kajgana forum	https://www.semanticscholar.org/paper/dfb479d4421930ee24bffe2f048ddcd2d46c14a5 (2015)	https://www.semanticscholar.org/paper/e9883ff80d17847c78769b8e41e4537e35680ebf (2014)	The Kajgana forum dataset is used for opinion mining research, focusing on classifying forum posts as positive, negative, or objective. Researchers employ SVM and Naïve Bayes classifiers, utilizing features such as bag of words, negation rules, and stemming. This dataset enables the development and evaluation of sentiment analysis techniques, specifically tailored for forum content.	
Bulgarian Corpus	citing_context	MaLA-500	https://doi.org/10.48550/arXiv.2506.23394 (2025)	https://doi.org/10.48550/arXiv.2405.12413 (2024)	The MaLA-500 dataset is used to extend language coverage to over 500 languages through continual pre-training, specifically focusing on enhancing performance for related language families. This approach involves leveraging the dataset to improve model performance across a broad range of languages, enabling more inclusive and effective multilingual natural language processing research.	
Bulgarian Corpus	cited_context | citing_context	mC4	https://doi.org/10.48550/arXiv.2407.08699 (2024), https://doi.org/10.18653/V1/2021.NAACL-MAIN.41 (2020)	https://doi.org/10.18653/V1/2021.NAACL-MAIN.41 (2020), https://doi.org/10.18653/v1/N19-1423 (2019)	The mC4 dataset is used to evaluate the fertility of models trained on a mix of Bulgarian and multilingual data. This involves assessing model performance on specific research aspects, such as the effectiveness of multilingual training in enhancing Bulgarian language processing. The dataset's multilingual nature is a key characteristic, enabling researchers to explore how mixed-language training impacts model capabilities in Bulgarian.; The mC4 dataset is used to supplement training data for multilingual models, enhancing their performance by including data from 103 languages. Researchers modify the data pipeline by turning off the line length filter, allowing for a more diverse and extensive dataset. This approach supports the development of robust multilingual models capable of handling a wide range of languages.	
Bulgarian Corpus	citing_context	Media Frames Corpus	https://doi.org/10.26615/978-954-452-072-4_113 (2021)	https://doi.org/10.3115/v1/P15-2072 (2015)	The Media Frames Corpus is used to analyze linguistic patterns in the Bulgarian language, focusing on identifying media bias and framing in news articles. Researchers employ the dataset to examine how certain topics are presented and the linguistic techniques used to influence public perception. This enables detailed content analysis and the exploration of media influence on societal views.	
Bulgarian Corpus	citing_context	MGSM-DE	https://doi.org/10.48550/arXiv.2407.08699 (2024)	https://doi.org/10.18653/v1/D19-1382 (2019)	The MGSM-DE dataset is used to analyze paraphrasing tasks and evaluate performance on math-related tasks in Bulgarian. It measures cross-lingual paraphrase identification accuracy and assesses the effectiveness of models on Bulgarian sentences, enabling researchers to understand linguistic nuances and model capabilities in specific contexts.	
Bulgarian Corpus	citing_context	MTE digital lexical resources	https://doi.org/10.55630/dipp.2011.1.16 (2011)	https://www.semanticscholar.org/paper/80d8a20897a577f8acb9020aa9189fef437e8f5d (2000)	The MTE digital lexical resources dataset is used to provide well-structured and lemmatized language-specific resources for linguistic analysis. It supports the study of language-specific phenomena and methodological approaches in multilingual translation evaluation, enabling researchers to focus on detailed linguistic aspects and enhance the accuracy of translation evaluations.	
Bulgarian Corpus	citing_context	MULTEXT-East corpus	https://doi.org/10.55630/dipp.2011.1.16 (2011)	https://www.semanticscholar.org/paper/ba97deb7a45dc9746711b3d29592dc7ed03e0b68 (1998)	The MULTEXT-East corpus is used to study morpho-syntactic features and sentence-level structures in the Bulgarian translation of George Orwell's '1984'. It supports the alignment of Bulgarian and English sentences, focusing on translation equivalence and linguistic structure. The dataset facilitates research on parallel translations in Central and Eastern European languages, analyzing paragraph and sentence counts, and both undisambiguated and disambiguated lexical information.	
Bulgarian Corpus	citing_context	multilingual (mostly Bulgarian) dataset	https://www.semanticscholar.org/paper/ebb147c750bbd0bacfb6ecfdc42906ee6cc87f08 (2022)	https://www.semanticscholar.org/paper/069cff8081de01bd9210b00677b77f9d0b2c869c (2021)	The multilingual (mostly Bulgarian) dataset is primarily used for fake content detection and language-specific studies. It consists of 3350 annotated tweets, enabling researchers to identify and analyze false information on Bulgarian social media. The dataset supports manual annotation for language-specific tasks, particularly language identification, enhancing the accuracy of linguistic analyses and content verification efforts.	
Bulgarian Corpus	citing_context	ParlaMint	https://doi.org/10.3233/IDA-227347 (2022)	https://doi.org/10.1007/s10579-021-09574-0 (2022)	The ParlaMint dataset is used to create unified corpora of parliamentary debates from 17 European parliaments, enhancing accessibility and facilitating comparative linguistic and political research. It supports methodologies that involve analyzing and comparing legislative discourse across different countries, enabling researchers to explore variations in political language and communication strategies. The dataset's comprehensive coverage and standardized format are crucial for these comparative studies.	
Bulgarian Corpus	cited_context	PAWS-X	https://doi.org/10.18653/V1/2021.NAACL-MAIN.41 (2020)	https://doi.org/10.18653/v1/D19-1382 (2019)	The PAWS-X dataset is primarily used to evaluate cross-lingual capabilities of machine learning models, particularly in tasks such as question answering, paraphrase identification, named entity recognition, and natural language inference. It focuses on model performance across multiple languages, including Bulgarian, by assessing the ability to handle complex linguistic structures and generate accurate outputs like answers, entity tags, and labels. This dataset enables researchers to test and improve the cross-lingual robustness and generalization of models.	
Bulgarian Corpus	citing_context	PubMed	https://doi.org/10.48550/arXiv.2407.08699 (2024)	https://www.semanticscholar.org/paper/efac04450c531b3769451a886ed9a42fce4754d9 (2012)	The PubMed dataset is used to create an English validation dataset, specifically for evaluating model performance. It focuses on 7,000 samples from a Bulgarian language dataset. This approach helps in assessing the effectiveness of models in cross-lingual settings, ensuring they perform well on Bulgarian data despite being trained primarily on English.	
Bulgarian Corpus	citing_context	RACE	https://doi.org/10.26615/978-954-452-056-4_053 (2019)	https://doi.org/10.18653/v1/D17-1082 (2017)	The RACE dataset is used to fine-tune multilingual BERT models for multiple-choice reading comprehension tasks, specifically focusing on zero-shot transfer from English to Bulgarian. This enables researchers to evaluate the model's ability to generalize to unseen languages, enhancing cross-lingual understanding and performance.	
Bulgarian Corpus	citing_context	Shared Tasks on Multilingual Named Entity Recognition, Normalization and cross-lingual Matching for Slavic Languages	https://doi.org/10.48550/arXiv.2404.00482 (2024)	https://doi.org/10.18653/v1/W19-3709 (2019)	The dataset 'Shared Tasks on Multilingual Named Entity Recognition, Normalization and cross-lingual Matching for Slavic Languages' is cited in research contexts but lacks detailed descriptions of its usage. No specific methodologies, research questions, or applications are provided in the given usage descriptions. Therefore, the actual research utilization and enabling capabilities of this dataset remain unspecified based on the available information.	
Bulgarian Corpus	citing_context	Snodgrass and Vanderwart picture set	https://doi.org/10.3758/s13428-017-0902-x (2017)	https://doi.org/10.1348/000712603321661859 (2003)	The Snodgrass and Vanderwart picture set is used to present common objects to participants, primarily to study visual recognition and processing. This dataset facilitates research in the context of Bulgarian language studies, where the images help in examining how visual stimuli are processed and recognized by speakers of Bulgarian. The dataset's standardized and widely recognized images enable consistent and reliable experimental designs, supporting research into cognitive processes related to language and visual perception.	
Bulgarian Corpus	citing_context	SpreadTheSign-Ten (SP-10)	https://doi.org/10.1109/CVIDL65390.2025.11085429 (2025)	https://doi.org/10.1038/s41597-025-04986-x (2025)	The SpreadTheSign-Ten (SP-10) dataset is used to derive a multilingual sign language dataset, including Bulgarian, for isolated sign language recognition. It focuses on dual-view recognition across ten countries, enabling researchers to develop and test algorithms that can recognize signs from multiple perspectives, enhancing the accuracy and robustness of sign language recognition systems.	
Bulgarian Corpus	citing_context	Temnikova et al., 2023	https://www.semanticscholar.org/paper/9e98fa93a9b23a2c331c2d7f4f8224e59e845d3d (2024)		The 'Temnikova et al., 2023' dataset is used to analyze social media content from platforms like Facebook, Telegram, and Twitter. It focuses on content analysis and enrichment by integrating additional Facebook posts and tweets. This dataset enables researchers to explore the dynamics and patterns of online communication, providing insights into user behavior and content dissemination across these platforms.	
Bulgarian Corpus	citing_context	TweepFake	https://doi.org/10.26615/978-954-452-092-2_122 (2023)	https://doi.org/10.1371/journal.pone.0251415 (2020)	The TweepFake dataset is used to test machine translation systems, specifically for translating language model-generated tweets into Bulgarian. Researchers employ this dataset to evaluate the performance and accuracy of translation systems, focusing on the nuances and challenges of translating synthetic social media content. This enables the assessment of translation quality and the effectiveness of machine translation models in handling tweet-specific language and context.	
Cameroon Pidgin Corpus	citing_context	APiCS	https://doi.org/10.1177/13670069211019126 (2021)	https://doi.org/10.5944/ENDOXA.37.2016.16613 (2016)	The APiCS dataset is used to analyze the presence of split systems in English- and Portuguese-lexifier contact languages of West Africa and the Americas. It supports research on linguistic structures and patterns in creole languages, employing a comparative approach to demonstrate the presence of these systems. This dataset enables detailed linguistic analysis by providing structured data on various contact languages.	
Cameroon Pidgin Corpus	citing_context	request strategy types in cameroon Pidgin English	https://doi.org/10.30564/JLER.V1I1.226 (2019)	https://doi.org/10.1093/APPLIN/5.3.196 (1984)	The dataset 'request strategy types in Cameroon Pidgin English' is used to analyze the distribution and frequency of various request strategies, such as explicit performative and locution derivable, within the language. Containing 38 instances, the dataset supports research focused on understanding the linguistic mechanisms and social functions of requests in Cameroon Pidgin English. This analysis helps in identifying the predominant types of request strategies and their contextual usage, providing insights into the communicative norms and pragmatic features of the language.	
Cameroon Pidgin Corpus	citing_context	Spoken Corpus of Cameroon Pidgin English	https://doi.org/10.1163/19552629-01201003 (2019)		The 'Spoken Corpus of Cameroon Pidgin English' is used to analyze the grammatical structure and linguistic features of spoken Cameroon Pidgin English. Researchers focus on syntactic patterns, morphological features, and usage patterns in natural speech. This dataset enables detailed linguistic analysis by providing authentic spoken data, facilitating a deeper understanding of the language's structure and usage.	
Catalan Corpus	cited_context | citing_context	4CatAc	https://doi.org/10.21437/iberspeech.2024-42 (2024)	https://www.semanticscholar.org/paper/131896b7c121d8c532bcbfc06e64e5be47e51b50 (2008)	The 4CatAc dataset is used to select sentences for the LaFresCat corpus, specifically focusing on the Catalan language for speech synthesis research. This involves curating sentences that are suitable for generating natural-sounding speech. The dataset's relevance lies in its ability to provide a diverse set of linguistic examples that enhance the quality and accuracy of speech synthesis systems tailored for Catalan.; The 4CatAc dataset is used to enhance the diversity of the Catalan language dataset for speech synthesis by selecting sentences for the LaFresCat corpus. This selection process focuses on improving the representativeness and variability of the dataset, which is crucial for developing more natural and accurate speech synthesis systems in Catalan.	
Catalan Corpus	cited_context	AnCora-9	https://doi.org/10.48550/arXiv.2403.08693 (2024)		The AnCora-9 dataset is used for part-of-speech tagging and named entity recognition in Catalan. It provides annotated text, enabling researchers to train and evaluate models for these tasks. This dataset supports the development and assessment of natural language processing techniques specific to the Catalan language, enhancing the accuracy and reliability of linguistic analyses.	
Catalan Corpus	citing_context	AnCora-CA	https://www.semanticscholar.org/paper/3f7ed762ee571e503c71da95e71431cbc7efa29d (2022)	https://doi.org/10.4000/BOOKS.AACCADEMIA.7084 (2020)	The AnCora-CA dataset is primarily used for evaluating and training Catalan language processing systems, focusing on tasks such as stance detection, part-of-speech tagging, and syntactic parsing. Researchers employ supervised methods and in-context learning with large language models to assess system performance. The dataset also supports the development of interaction-based embeddings and the determination of optimal embedding dimensions for stance detection, particularly in cross-lingual settings involving vaccination-related content.	
Catalan Corpus	cited_context	Babel	https://www.semanticscholar.org/paper/63a71de0dafc90910e37a2b07169ff486d9b5fe5 (2019)	https://www.semanticscholar.org/paper/98b1d8a28fc6c9b89b7960ec4dd853a566a81925 (2014)	The Babel dataset is used to develop speech recognition models for low-resource languages, including Catalan, through keyword spotting and speech recognition techniques. It highlights the quality and scope of data for minority languages, addressing issues of open licensing in low-resource language datasets. This enables researchers to improve model performance and accessibility for underrepresented languages.	
Catalan Corpus	citing_context	corpus-based speech synthesis by Saratxaga et al. (2006)	https://www.semanticscholar.org/paper/7b07ef9ba4419314fc3a569d9b63361ed87932f7 (2020)	https://www.semanticscholar.org/paper/b9c983f9a05044477401068f4f74fb9d08f19f1a (2008)	The dataset 'corpus-based speech synthesis by Saratxaga et al. (2006)' is used to develop and evaluate corpus-based speech synthesis systems. It focuses on high-quality audio recordings and detailed evaluations of speech quality and naturalness, enabling researchers to enhance the realism and clarity of synthesized speech.	
Catalan Corpus	citing_context	CaBBQ	https://www.semanticscholar.org/paper/a671f540fe1a2be6cfa3b4e0559c5d4d659445dc (2025)	https://doi.org/10.18653/v1/2020.acl-main.485 (2020)	The CaBBQ dataset is used to evaluate bias in Catalan language models, specifically to identify and quantify harmful biases in natural language processing systems. Researchers employ this dataset to assess the extent and nature of biases, ensuring more ethical and fair NLP models. The dataset's focus on the Catalan language makes it particularly valuable for regional linguistic studies and bias mitigation efforts.	
Catalan Corpus	citing_context	CARMEN-I species data	https://doi.org/10.1038/s41597-025-05320-1 (2025)	https://www.semanticscholar.org/paper/5acd3f0dd53378b174cc9a024af3dd88a1bc1325 (2022)	The CARMEN-I species data is used to evaluate the LivingNER system, specifically for detecting and normalizing species mentions in Catalan-language clinical documents. This dataset enables researchers to assess the accuracy and effectiveness of the LivingNER system in a linguistically specific context, contributing to the improvement of named entity recognition in clinical text processing.	
Catalan Corpus	cited_context | citing_context	Catalan dataset from UPC	https://www.semanticscholar.org/paper/7b07ef9ba4419314fc3a569d9b63361ed87932f7 (2020)	https://doi.org/10.21437/ICSLP.1998-27 (1998)	The Catalan dataset from UPC is used to develop a bilingual Spanish-Catalan unit selection Text-to-Speech (TTS) system. It focuses on linguistic features and phonetic transcriptions, enabling researchers to enhance the naturalness and accuracy of speech synthesis in both languages. The dataset's detailed phonetic annotations are crucial for training and improving TTS models.; The 'Catalan dataset from UPC' is mentioned in research citations but lacks detailed descriptions of its usage. There is no explicit information on specific methodologies, research questions, or characteristics of the dataset. Therefore, its actual application and how it enables research remain unspecified in the provided contexts.	
Catalan Corpus	cited_context | citing_context	Catalan (Google, 2019b)	https://www.semanticscholar.org/paper/7b07ef9ba4419314fc3a569d9b63361ed87932f7 (2020)		The Catalan (Google, 2019b) dataset is used to provide open, high-quality speech resources for the Catalan language, supporting research and development in speech processing and natural language technologies. It enables researchers to enhance and develop speech recognition, synthesis, and other natural language processing applications specific to the Catalan language.; The Catalan (Google, 2019b) dataset is used to provide open, high-quality speech resources for the Catalan language. It supports research and development in speech processing and natural language technologies, enabling the creation and improvement of speech recognition and synthesis systems. This dataset facilitates the advancement of linguistic technologies specific to the Catalan language, enhancing their accuracy and usability.	
Catalan Corpus	citing_context	Catalan United Nations test set	https://www.semanticscholar.org/paper/02665643d168f7732af3e176a71c2cde7a400392 (2022)	https://www.semanticscholar.org/paper/800366078f063a637e6a4880c0c49c217c7905ea (2016)	The Catalan United Nations test set is used for evaluating the quality and accuracy of Catalan-English machine translation, particularly in the context of the United Nations Parallel Corpus and biomedical texts. Researchers employ this dataset to assess translation performance, focusing on specific domains such as biomedical content, ensuring that translations maintain high standards of accuracy and relevance.	
Catalan Corpus	cited_context	Catalan version of the Wikipedia	https://doi.org/10.3390/app11219872 (2021)	https://doi.org/10.18653/v1/2020.acl-main.156 (2020)	The Catalan version of Wikipedia is used to supply a large, up-to-date corpus of Catalan text, which enriches pretraining data with diverse and current content. This dataset expands the linguistic diversity and coverage of models, enhancing their performance in Catalan language tasks. It is particularly useful for improving the pretraining phase of natural language processing models by providing extensive and varied textual data.	
Catalan Corpus	citing_context	Catalan Wikipedia	https://doi.org/10.18653/v1/2021.findings-acl.437 (2021)	https://www.semanticscholar.org/paper/e00631018e737355f1b0b3db779641f8f26288b1 (2020)	The Catalan Wikipedia dataset is used to train and evaluate monolingual language models, such as WikiBERT-ca, focusing on the linguistic features and size of the dataset. It is employed to assess BERT models' performance on downstream tasks, particularly by comparing monolingual Catalan models against multilingual baselines. This dataset enables researchers to enhance and benchmark Catalan-specific natural language processing capabilities.	
Catalan Corpus	citing_context	CATalog	https://www.semanticscholar.org/paper/ac8e1888733971a50da48f32840fa4e5180a9b1e (2024)	https://www.semanticscholar.org/paper/77a2e761ed2dc2360043280bb543c7add804983d (2024)	The CATalog dataset is used to evaluate and compare the performance of different architectures and models for the Catalan language, particularly focusing on the effectiveness of pretraining corpora for mid-resourced languages. This dataset enables researchers to assess how various models handle Catalan, providing insights into the benefits and limitations of pretraining techniques in this context.	
Catalan Corpus	citing_context	CaText corpus	https://www.semanticscholar.org/paper/aa441b7dfdd1975cf5f5598039fa1bce33fd5900 (2021)	https://www.semanticscholar.org/paper/a54b56af24bb4873ed0163b77df63b92bd018ddc (2019)	The CaText corpus is used to pre-select potential sentence pairs for developing the STS-ca dataset. Researchers apply Jaccard similarity, Doc2Vec, and DistilBERT embedding cosine similarity measures to identify suitable sentence pairs. This process leverages the corpus's extensive text data to enhance the quality and relevance of the selected pairs, facilitating more accurate semantic textual similarity evaluations.	
Catalan Corpus	citing_context	caWaC	https://www.semanticscholar.org/paper/8800be4b4201991c666e8aae2a2512648156edf7 (2014)	https://www.semanticscholar.org/paper/61fb29e6238a7780271a4a6f6b4ae399e97623d5 (2012)	The caWaC dataset is used to construct a large web corpus of Catalan text, with a focus on preprocessing and cleaning stages. Researchers employ the Brno pipeline tools to handle these tasks, ensuring the data is suitable for linguistic analysis. This dataset enables the creation of high-quality, cleaned corpora for Catalan language research.	
